Cidade,# Revisões,# Revisões de Hotel,# Votos Úteis,Período,Tipo,Animadores,Academia,Quadra de Tenis,Spa,Piscina,Wifi Free,Nome do Hotel,# Estrelas,Qtde Quartos,# Anos como membro,Mês da Revisão,Dia da Revisão,Pontuação
Brasília,18,4,16,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,0,Outubro,Sexta-Feira,5
Campo Grande,9,7,7,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,5,Novembro,Quarta-feira,5
Goiânia,50,19,45,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,0,Novembro,Sexta-Feira,5
Uberlândia,4,3,8,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,8,Dezembro,Terça-feira,2
Goiânia,7,3,8,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,5,Dezembro,Domingo,5
Anápolis,28,23,31,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,4,Janeiro,Sexta-Feira,3
Goiânia,32,6,11,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,10,Janeiro,Sexta-Feira,5
Uberlândia,4,0,4,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,9,Fevereiro,Sexta-Feira,5
Goiânia,37,8,9,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,3,Fevereiro,Terça-feira,4
Uberlândia,10,3,7,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,6,Março,Quarta-feira,5
Uberlândia,36,30,80,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,8,Março,Sexta-Feira,5
Goiânia,31,10,14,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,5,Abril,Domingo,4
Uberlândia,66,33,60,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,10,Abril,Sábado,5
Osasco,17,4,8,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,0,Maio,Sábado,5
Brasília,57,20,71,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,0,Maio,Sexta-Feira,5
Goiânia,42,8,22,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,6,Junho,Segunda-feira,4
Goiânia,28,20,14,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,8,Junho,Sexta-Feira,3
Salvador,19,8,10,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,3,Julho,Quarta-feira,4
Goiânia,20,11,21,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,9,Julho,Sexta-Feira,5
Brasília,75,19,93,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,8,Agosto,Domingo,4
Goiânia,91,16,26,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,3,Agosto,Quarta-feira,4
Brasília,52,48,78,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,8,Setembro,Sábado,3
Goiânia,93,4,8,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,2,Setembro,Sábado,5
Uberlândia,9,3,15,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,1,Outubro,Quarta-feira,5
Uberaba,5,3,9,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,2,Outubro,Quinta-Feira,5
Luziânia,37,7,10,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,0,Novembro,Domingo,5
Porto Alegre,31,25,35,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,7,Novembro,Domingo,3
Goiânia,6,4,4,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,7,Dezembro,Quinta-Feira,5
Goiânia,252,55,113,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Golden Dolphin Grand Hotel,5,31,8,Dezembro,Segunda-feira,4
Goiânia,164,48,82,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,4,Janeiro,Sábado,5
Goiânia,5,3,9,Dez-Fev,Família,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,4,Janeiro,Terça-feira,5
Uberlândia,7,5,20,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,3,Fevereiro,Sábado,4
Goiânia,18,11,15,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,7,Fevereiro,Terça-feira,5
Goiânia,20,13,16,Mar-Mai,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,6,Março,Sexta-Feira,5
Goiânia,21,5,12,Mar-Mai,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,8,Março,Segunda-feira,4
Goiânia,125,35,48,Mar-Mai,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,4,Abril,Domingo,5
Goiânia,11,7,10,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,1,Abril,Segunda-feira,4
Luziânia,16,10,16,Mar-Mai,Sozinho,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,7,Maio,Segunda-feira,3
Brasília,19,5,5,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,3,Maio,Segunda-feira,5
Goiânia,73,27,365,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,6,Junho,Quarta-feira,5
Goiânia,5,4,4,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,11,Junho,Quarta-feira,5
Goiânia,30,10,17,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,3,Julho,Segunda-feira,5
Uberlândia,7,4,10,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,3,Julho,Domingo,5
Uberlândia,67,46,99,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,6,Agosto,Domingo,5
Cristalina,18,13,25,Jun-Ago,Sozinho,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,9,Agosto,Sábado,5
Uberlândia,12,7,11,Set-Nov,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,4,Setembro,Segunda-feira,2
Uberlândia,40,12,26,Set-Nov,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,7,Setembro,Sábado,5
Goiânia,142,17,31,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,3,Outubro,Segunda-feira,4
Brasília,8,4,16,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,7,Outubro,Sábado,5
Campinas,15,9,3,Set-Nov,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,2,Novembro,Segunda-feira,5
Brasília,2,18,14,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,8,Novembro,Quarta-feira,5
Brasília,10,6,10,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,5,Dezembro,Terça-feira,5
Goiânia,16,13,55,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Serra Park,5,27,9,Dezembro,Terça-feira,5
Brasília,21,7,13,Dez-Fev,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,10,Janeiro,Terça-feira,5
São Paulo,69,58,41,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,5,Janeiro,Sábado,5
Goiânia,33,13,8,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,5,Fevereiro,Quarta-feira,5
Goiânia,1,0,2,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,0,Fevereiro,Terça-feira,5
Goiânia,49,8,23,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,5,Março,Segunda-feira,5
Goiânia,775,52,255,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,2,Março,Quarta-feira,3
Manaus,16,7,6,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,7,Abril,Segunda-feira,4
Goiânia,1,0,1,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,0,Abril,Quarta-feira,5
Luziânia,19,11,17,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,7,Maio,Sexta-Feira,4
Porto Alegre,7,4,8,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,7,Maio,Domingo,5
Goiânia,38,18,16,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,8,Junho,Domingo,5
Goiânia,48,14,30,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,9,Junho,Quarta-feira,5
Uberlândia,136,20,55,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,3,Julho,Domingo,5
Goiânia,26,8,1,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,6,Julho,Segunda-feira,4
Feira de Santana,3,3,2,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,4,Agosto,Domingo,4
Goiânia,78,17,24,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,5,Agosto,Segunda-feira,5
Brasília,24,18,12,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,0,Setembro,Quinta-Feira,5
Campo Grande,2,0,15,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,1,Setembro,Segunda-feira,1
Ribeirão Preto,4,3,3,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,11,Outubro,Quinta-Feira,5
Uberaba,11,7,17,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,2,Outubro,Sábado,5
Curitiba,1,0,1,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,0,Novembro,Quarta-feira,2
Uberaba,35,16,17,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,2,Novembro,Terça-feira,4
Goiânia,110,19,76,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,2,Dezembro,Terça-feira,4
Goiânia,53,25,24,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Taiyo,5,13,3,Dezembro,Domingo,5
Piracicaba,320,45,102,Dez-Fev,Negócios,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,6,Janeiro,Terça-feira,3
Goiânia,2,0,2,Dez-Fev,Negócios,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,1,Janeiro,Sábado,4
Goiânia,26,6,12,Dez-Fev,Família,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,1,Fevereiro,Domingo,5
Goiânia,4,4,0,Dez-Fev,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,2,Fevereiro,Segunda-feira,5
Goiânia,9,9,6,Mar-Mai,Sozinho,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,1,Março,Quarta-feira,2
Goiânia,17,14,70,Mar-Mai,Amigos,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,10,Março,Domingo,5
Uberlândia,3,0,1,Mar-Mai,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,1,Abril,Terça-feira,5
Uberlândia,14,0,4,Mar-Mai,Família,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,4,Abril,Terça-feira,2
Goiânia,235,111,267,Mar-Mai,Amigos,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,9,Maio,Sexta-Feira,5
Goiânia,59,9,21,Mar-Mai,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,3,Maio,Segunda-feira,5
Goiânia,2,0,2,Jun-Ago,Amigos,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,0,Junho,Quarta-feira,5
Goiânia,2,0,1,Jun-Ago,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,0,Junho,Quarta-feira,5
Goiânia,21,18,53,Jun-Ago,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,11,Julho,Quarta-feira,5
Goiânia,4,0,16,Jun-Ago,Amigos,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,0,Julho,Quinta-Feira,1
Palmas,184,52,70,Jun-Ago,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,3,Agosto,Quarta-feira,5
Brasília,262,75,150,Jun-Ago,Família,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,2,Agosto,Segunda-feira,4
Goiânia,69,11,17,Set-Nov,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,0,Setembro,Domingo,5
Uberaba,92,12,27,Set-Nov,Negócios,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,2,Setembro,Sábado,4
Goiânia,131,61,116,Set-Nov,Família,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,8,Outubro,Quinta-Feira,3
Maceió,25,10,16,Set-Nov,Amigos,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,8,Outubro,Terça-feira,5
Uberlândia,49,22,53,Set-Nov,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,5,Novembro,Domingo,3
Goiânia,148,33,55,Set-Nov,Negócios,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,3,Novembro,Quarta-feira,4
Uberlândia,26,7,22,Dez-Fev,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,4,Dezembro,Quarta-feira,4
Goiânia,13,4,1,Dez-Fev,Casais,SIM,NÃO,NÃO,NÃO,SIM,SIM,IMG Hotel's Rio Quente,4,17,2,Dezembro,Quarta-feira,4
Belo Horizonte,3,3,20,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,5,Janeiro,Terça-feira,1
Goiânia,46,12,87,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,3,Janeiro,Terça-feira,5
Brasília,127,40,81,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,8,Fevereiro,Quinta-Feira,4
Goiânia,15,5,12,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,4,Fevereiro,Domingo,5
Goiânia,16,14,23,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,7,Março,Sexta-Feira,5
Goiânia,113,38,27,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,1,Março,Terça-feira,4
Brasília,7,5,5,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,7,Abril,Segunda-feira,3
Contagem,73,32,99,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,10,Abril,Quinta-Feira,4
Goiânia,35,12,3,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,2,Maio,Sexta-Feira,5
Brasília,139,20,86,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,5,Maio,Segunda-feira,5
Brasília,28,12,30,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,2,Junho,Sábado,5
Goiânia,34,8,26,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,4,Junho,Terça-feira,4
Goiânia,4,3,5,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,3,Julho,Quinta-Feira,5
Goiânia,32,11,14,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,3,Julho,Domingo,5
Brasília,9,3,4,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,1,Agosto,Quinta-Feira,5
Goiânia,333,58,200,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,4,Agosto,Domingo,5
Goiânia,29,11,15,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,6,Setembro,Segunda-feira,5
Brasília,85,43,68,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,5,Setembro,Quarta-feira,5
Goiânia,12,5,1,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,5,Outubro,Sexta-Feira,5
Brasília,34,10,7,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,4,Outubro,Quinta-Feira,4
São Paulo,13,7,8,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,5,Novembro,Domingo,5
Goiânia,5,5,14,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,5,Novembro,Domingo,5
Goiânia,169,25,41,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,8,Dezembro,Terça-feira,5
Goiânia,11,10,6,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Prive Riviera Park Hotel,5,21,7,Dezembro,Terça-feira,5
Goiânia,4,3,2,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,6,Janeiro,Sexta-Feira,5
Goiânia,50,39,48,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,10,Janeiro,Quinta-Feira,2
Anápolis,10,3,1,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,4,Fevereiro,Terça-feira,5
Uberlândia,7,4,4,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,1,Fevereiro,Sexta-Feira,5
Brasília,60,7,42,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,8,Março,Terça-feira,5
Palmas,92,49,18,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,5,Março,Quinta-Feira,4
Uberaba,106,37,58,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,3,Abril,Quarta-feira,4
Uberlândia,7,5,45,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,10,Abril,Segunda-feira,4
Porto Alegre,37,31,38,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,9,Maio,Sexta-Feira,5
Goiânia,70,25,19,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,3,Maio,Sexta-Feira,1
Goiânia,9,3,4,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,1,Junho,Segunda-feira,5
Goiânia,11,6,7,Jun-Ago,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,1,Junho,Segunda-feira,5
Cristalina,39,18,9,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,4,Julho,Quinta-Feira,4
Brasília,10,0,9,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,1,Julho,Quarta-feira,5
Goiânia,78,17,24,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,5,Agosto,Segunda-feira,4
Brasília,48,21,19,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,4,Agosto,Sexta-Feira,5
Uberlândia,112,34,41,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,7,Setembro,Domingo,5
Goiânia,28,17,14,Set-Nov,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,2,Setembro,Quarta-feira,5
Brasília,11,3,16,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,2,Outubro,Quarta-feira,2
Goiânia,9,5,11,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,9,Outubro,Quarta-feira,4
Goiânia,4,4,1,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,0,Novembro,Quarta-feira,3
Anápolis,22,15,25,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,6,Novembro,Segunda-feira,4
Goiânia,42,11,36,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,7,Dezembro,Segunda-feira,5
Uberaba,20,16,9,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Acqua Bella Thermas Hotel,3,13,7,Dezembro,Terça-feira,4
Uberlândia,160,34,88,Dez-Fev,Negócios,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,6,Janeiro,Sábado,4
Goiânia,372,78,169,Dez-Fev,Negócios,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,4,Janeiro,Domingo,4
Goiânia,84,18,36,Dez-Fev,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,4,Fevereiro,Quarta-feira,5
Goiânia,21,13,20,Dez-Fev,Negócios,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,5,Fevereiro,Quinta-Feira,5
Brasília,95,37,55,Mar-Mai,Amigos,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,6,Março,Terça-feira,4
Curitiba,118,107,131,Mar-Mai,Negócios,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,10,Março,Segunda-feira,5
Uberlândia,6,0,8,Mar-Mai,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,10,Abril,Quarta-feira,5
Goiânia,60,4,31,Mar-Mai,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,2,Abril,Terça-feira,4
Uberaba,275,79,339,Mar-Mai,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,7,Maio,Domingo,4
Uberlândia,46,39,42,Mar-Mai,Negócios,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,6,Maio,Quarta-feira,4
Goiânia,6,5,6,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,4,Junho,Terça-feira,5
Uberaba,11,0,5,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,0,Junho,Quinta-Feira,5
Goiânia,75,37,48,Jun-Ago,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,6,Julho,Sábado,5
Santo André,240,76,115,Jun-Ago,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,3,Julho,Segunda-feira,5
Rio Verde,20,12,7,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,1,Agosto,Quarta-feira,5
Belém,62,40,25,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,5,Agosto,Domingo,5
FloriAnápolis,88,19,58,Set-Nov,Amigos,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,1,Setembro,Quarta-feira,5
Goiânia,6,3,5,Set-Nov,Amigos,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,0,Setembro,Terça-feira,5
Belo Horizonte,18,9,8,Set-Nov,Negócios,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,7,Outubro,Segunda-feira,3
